,1,2,4,3,7,11,11,9,12,16,10,1,4,9,3,6,2,2,3,15,8,5,7,1,5,4,2,3,8,6,6,7,11,10,9,10,13,14,14,12,15,16,17,17,18,19,20,21
1,1.0000000000000004,0.05348936034680679,0.12659154643713355,0.42274314619115794,0.06995547076839352,0.0560133712591183,0.05901078961426369,0.06576231655908535,0.15360691743593805,0.08754070036732747,0.08754070036732747,0.9708345471104229,0.12156843245473972,0.06390014648308008,0.4073325445808386,0.18179705523416434,0.05214595434962971,0.04927923186546916,0.37613166915291096,0.15360691743593805,0.16108206425906385,0.09238101853339742,0.0647719196427403,0.7146287497115165,0.033365990628370014,0.055241377944241374,0.032616409323999784,0.2294834159230437,0.05827914391242526,0.1381150053315576,0.17658061180657586,0.03787278948794659,0.0347001075486004,0.04195338265722766,0.03199751284669039,0.03405554654865421,0.04761395089604823,0.039218858246147285,0.07143737501669176,0.05408185014996248,0.04961425698958312,0.033424182513488485,0.04679729460625117,0.10109462445714677,0.0036793728847136133,0.003617153042303318,0.0530957703462026,0.021379553341411228
2,0.05348936034680679,1.0,0.06290494002762229,0.16987925525889863,0.06471352349083492,0.4612998603389314,0.4859851923859795,0.060834573346633225,0.14209674741173345,0.27534976030163233,0.27534976030163233,0.05192931892751837,0.060408891178331134,0.059111940568469676,0.1636865078465755,0.03314638207195883,0.9748846127815534,0.9212903565486559,0.15114844181551734,0.14209674741173345,0.14901176183765813,0.290574455114657,0.05991838947413325,0.0382250347075073,0.10494909777049424,0.02745013916352948,0.6097737776732812,0.09221786832623552,0.053912134493224705,0.025181996103807697,0.03219528731035836,0.035034881836561185,0.28577381446772837,0.13195980623913026,0.02959985511509327,0.10711802098641693,0.06443225061507447,0.10386123744845809,0.1891838391300451,0.050029354983465606,0.04589653032006091,0.105132134021651,0.06568533623475585,0.14189782667707954,0.009743889494238381,0.009579115961413363,0.09826419159853664,0.056618345495879435
4,0.12659154643713355,0.06290494002762229,1.0000000000000002,0.14233444626470346,0.08226953294558478,0.0658732453885126,0.06939829075539686,0.17101751047210773,0.3164040990192297,0.102950240400688,0.102950240400688,0.12289944665330259,0.9603203047615168,0.16617486338883553,0.13714581229967426,0.04213860140503958,0.06132505810087538,0.05795371462671994,0.12664071158539814,0.3164040990192297,0.33180162886416,0.10864258598076404,0.07617353608611224,0.09046595855441612,0.03923931088035758,0.43637493575982766,0.03835778291495444,0.07726534475279032,0.12004511469291912,0.03201357222329584,0.04092948594349398,0.04453942870080082,0.04080826860041262,0.04933831705778365,0.08321080026771463,0.04005024736435984,0.055995298993566506,0.04612244210680663,0.08401229257593892,0.11139940411295823,0.10219692279056705,0.0393077461171923,0.2630933164281059,0.5683516588997816,0.004327042409023435,0.004253870185052703,0.062442067500769256,0.025142935193823296
3,0.42274314619115794,0.16987925525889863,0.14233444626470346,1.0,0.07865511936020711,0.18684670370313874,0.19684534736069273,0.07394050531778543,0.17270944348981387,0.0984272446548842,0.0984272446548842,0.4104136508765281,0.1366866588149817,0.07184675613722274,0.9635461822405257,0.0402872923245817,0.16561267198269006,0.15650811964769085,0.8897404311383681,0.17270944348981387,0.181114198102282,0.10386950383650095,0.07282694283563146,0.30210440601169997,0.03751537866330427,0.0621111848451706,0.10358791522754224,0.5428436108087127,0.06552672679194614,0.030607094196528826,0.03913129790546856,0.04258264214304057,0.11575094603049689,0.047170697076626404,0.03597671725373179,0.038290687622271294,0.053535212468783414,0.04409610774737979,0.08032131292948774,0.06080745840235335,0.055784276234858744,0.0375808072798158,0.2317385680385749,0.500617048596806,0.00413693897330776,0.004066981483527472,0.059698749908056924,0.024038310391821152
7,0.06995547076839352,0.06471352349083492,0.08226953294558478,0.07865511936020711,1.0000000000000002,0.0677671707658438,0.07139356491002319,0.020208767463461542,0.09982632893217207,0.10591016854370332,0.10591016854370332,0.06791518778132974,0.0790051029508916,0.01963652238432726,0.07578783997320043,0.04335013070036358,0.06308821829009256,0.05961994513039112,0.06998263981079048,0.09982632893217207,0.10468429026645149,0.11176617507121045,0.9259021336184737,0.049992190610697596,0.0403674825109944,0.03590036215412058,0.03946060968555503,0.042697429002085105,0.0378745507507074,0.032933996236036205,0.0421062518922842,0.42897701878716565,0.041981549422564865,0.050756845782145635,0.009832839388297895,0.04120173427538702,0.03094343668403799,0.04744851102986297,0.08642773471756889,0.035146806227539636,0.032243399064583254,0.040437885333166404,0.030412706683263062,0.06569954923118865,0.0044514494483138805,0.004376173445622721,0.034505970980750963,0.025865821135503043
11,0.0560133712591183,0.4612998603389314,0.0658732453885126,0.18684670370313874,0.0677671707658438,1.0,0.9492055880841687,0.06370518398727597,0.29464950364712295,0.2883427330199006,0.443078919368481,0.05437971591847409,0.06325941508712657,0.06190126506357245,0.18003542801738603,0.03471046564878301,0.44971413572270375,0.42499111280749935,0.16624506670961356,0.14880188912114628,0.15604320342720907,0.30428583791664165,0.06274576800138221,0.0400287654700307,0.10990134745702071,0.028745433224703538,0.28128855847902723,0.1014285393059175,0.05645609491609464,0.026370262939449364,0.033714491428139516,0.03668807835066577,0.6194968588496025,0.21234305155907324,0.030996588163103914,0.1723689061198377,0.11268140424734117,0.25901278165521424,0.47179326591022636,0.10374005656125687,0.048062257160202224,0.1100930206687295,0.07224595221112837,0.15607050511756232,0.017796024207185582,0.017495085472136154,0.10290099955952364,0.10340649364006602
11,0.05901078961426369,0.4859851923859795,0.06939829075539686,0.19684534736069273,0.07139356491002319,0.9492055880841687,1.0000000000000002,0.06711421085905687,0.15676465771917858,0.30377268806632074,0.30377268806632074,0.05728971320979212,0.06664458772815103,0.06521375963294845,0.18966958294120562,0.03656791119281226,0.4737794860967744,0.4477334711706462,0.17514126422828455,0.15676465771917858,0.16439347322233877,0.32056894916811207,0.06610345407681945,0.0421708068015306,0.11578244885688083,0.03028367467022814,0.29634102665447504,0.10685623913217374,0.05947720454326754,0.02778140296526683,0.03551863985144382,0.038651350994166875,0.5880298802206323,0.14558133268051293,0.032655294650831085,0.11817525876813163,0.07108325769400708,0.19984065488452576,0.3640108979452397,0.05519362584119682,0.050634191121028696,0.11598437899100028,0.07611201737333445,0.16442223589577434,0.018748334850308072,0.018431292116018204,0.10840749448938046,0.10894003884740794
9,0.06576231655908535,0.060834573346633225,0.17101751047210773,0.07394050531778543,0.020208767463461542,0.06370518398727597,0.06711421085905687,1.0,0.2775202235843785,0.025288796399768824,0.025288796399768824,0.06384432881357188,0.1642315877761303,0.9716833260529658,0.07124509161188744,0.01656199555333552,0.05930668948076354,0.05604630576900509,0.06578785708003519,0.2775202235843785,0.2910255035047643,0.026687069661214317,0.018711340912218623,0.04699564206075213,0.009638782190876409,0.07462775514607164,0.03709532760271885,0.040138130891727464,0.10529240036099068,0.01258249261080603,0.016086769413172438,0.01691812621781377,0.03946516137255347,0.012119511813915046,0.4865630428019007,0.009837981411366433,0.0724889361306197,0.04460443148090272,0.08124722752275947,0.09770918781528107,0.0896376278006118,0.009655592688493,0.06322031008891503,0.1365727134501808,0.004184628086286064,0.004113864152259117,0.0808346258397005,0.02431541520469842
12,0.15360691743593805,0.14209674741173345,0.3164040990192297,0.17270944348981387,0.09982632893217207,0.29464950364712295,0.15676465771917858,0.2775202235843785,1.0000000000000002,0.12492041943015333,0.3528588926108689,0.149126902121947,0.3038492807979397,0.2696617738994316,0.16641352491149597,0.0511312236011293,0.13852793257800594,0.1309123630873602,0.1536665747122946,0.7851550864953468,0.8233639747957355,0.13182754460671317,0.09242941094959767,0.10977191935428454,0.047613207645231394,0.13807081838366253,0.08664687046433875,0.09375421792477388,0.29789131273022595,0.03884545440619386,0.04966407587997885,0.054044401380982744,0.18253444197098723,0.1691056169712173,0.13503108442627898,0.1372710338390326,0.1974359182857306,0.2063046172025046,0.37578504234549337,0.3520795225417982,0.2536011195869788,0.04769624735894089,0.1169655972548023,0.2526768529756117,0.009774409640401377,0.00960911999824357,0.14590352302936768,0.056795687427052086
